name,mfr,type,calories,protein,fat,sodium,fiber,carbo,sugars,shelf,potass,vitamins,weight,cups
hundred_Bran,N,C,70,4,1,130,10,5,6,3,280,25,1,0.33
All-Bran,K,C,70,4,1,260,9,7,5,3,320,25,1,0.33
Apple_Cinnamon_Cheerios,G,C,110,2,2,180,1.5,10.5,10,1,70,25,1,0.75
Apple_Jacks,K,C,110,2,0,125,1,11,14,2,30,25,1,1
Basic_4,G,C,130,3,2,210,2,18,8,3,100,25,1.33,0.75
Bran_Flakes,P,C,90,3,0,210,5,13,5,3,190,25,1,0.67
Cap'n'Crunch,Q,C,120,1,2,220,0,12,12,2,35,25,1,0.75
Cheerios,G,C,110,6,2,290,2,17,1,1,105,25,1,1.25
Cinnamon_Toast_Crunch,G,C,120,1,3,210,0,13,9,2,45,25,1,0.75
Clusters,G,C,110,3,2,140,2,13,7,3,105,25,1,0.5
Cocoa_Puffs,G,C,110,1,1,180,0,12,13,2,55,25,1,1
Corn_Chex,R,C,110,2,0,280,0,22,3,1,25,25,1,1
Corn_Flakes,K,C,100,2,0,290,1,21,2,1,35,25,1,1
Corn_Pops,K,C,110,1,0,90,1,13,12,2,20,25,1,1
Count_Chocula,G,C,110,1,1,180,0,12,13,2,65,25,1,1
Cracklin'_Oat_Bran,K,C,110,3,3,140,4,10,7,3,160,25,1,0.5
Crispix,K,C,110,2,0,220,1,21,3,3,30,25,1,1
Froot_Loops,K,C,110,2,1,125,1,11,13,2,30,25,1,1
Frosted_Flakes,K,C,110,1,0,200,1,14,11,1,25,25,1,0.75
Frosted_Mini-Wheats,K,C,100,3,0,0,3,14,7,2,100,25,1,0.8
Fruity_Pebbles,P,C,110,1,1,135,0,13,12,2,25,25,1,0.75
Golden_Crisp,P,C,100,2,0,45,0,11,15,1,40,25,1,0.88
Golden_Grahams,G,C,110,1,1,280,0,15,9,2,45,25,1,0.75
Grape_Nuts_Flakes,P,C,100,3,1,140,3,15,5,3,85,25,1,0.88
Great_Grains_Pecan,P,C,120,3,3,75,3,13,4,3,100,25,1,0.33
Honey_Graham_Ohs,Q,C,120,1,2,220,1,12,11,2,45,25,1,1
Honey_Nut_Cheerios,G,C,110,3,1,250,1.5,11.5,10,1,90,25,1,0.75
Honey-Comb,P,C,110,1,0,180,0,14,11,1,35,25,1,1.33
Kix,G,C,110,2,1,260,0,21,3,2,40,25,1,1.5
Life,Q,C,100,4,2,150,2,12,6,2,95,25,1,0.67
Lucky_Charms,G,C,110,2,1,180,0,12,12,2,55,25,1,1
Multi-Grain_Cheerios,G,C,100,2,1,220,2,15,6,1,90,25,1,1
Nut&Honey_Crunch,K,C,120,2,1,190,0,15,9,2,40,25,1,0.67
Oatmeal_Raisin_Crisp,G,C,130,3,2,170,1.5,13.5,10,3,120,25,1.25,0.5
Post_Nat._Raisin_Bran,P,C,120,3,1,200,6,11,14,3,260,25,1.33,0.67
Puffed_Rice,Q,C,50,1,0,0,0,13,0,3,15,0,0.5,1
Puffed_Wheat,Q,C,50,2,0,0,1,10,0,3,50,0,0.5,NA
Quaker_Oat_Squares,Q,C,100,4,1,135,2,14,6,3,110,25,1,0.5
Raisin_Bran,K,C,120,3,1,210,5,14,12,2,240,25,1.33,0.75
Rice_Chex,R,C,110,1,0,240,0,23,2,1,30,25,1,1.13
Rice_Krispies,K,C,110,2,0,290,0,22,3,1,35,25,1,1
Special_K,K,C,110,6,0,230,1,16,3,1,55,25,1,1
Total_Corn_Flakes,G,C,110,2,1,200,0,21,3,3,35,100,1,1
Total_Raisin_Bran,G,C,140,3,1,190,4,15,14,3,230,100,1.5,1
Total_Whole_Grain,G,C,100,3,1,200,3,16,3,3,110,100,1,1
Trix,G,C,110,1,1,140,0,13,12,2,25,25,1,1
Wheat_Chex,R,C,100,3,1,230,3,17,3,1,115,25,1,0.67
Wheaties,G,C,100,3,1,200,3,17,3,1,110,25,1,1
