name,Calories,Protein (g),Fat (g),Sodium (mg),Fiber (g),Carbohydrates (g),Sugars (g)
hundred_Bran,70,4,1,130,10,5,6
All-Bran,70,4,1,260,9,7,5
Apple_Cinnamon_Cheerios,110,2,2,180,1.5,10.5,10
Apple_Jacks,110,2,0,125,1,11,14
Basic_4,130,3,2,210,2,18,8
Bran_Flakes,90,3,0,210,5,13,5
CapnCrunch,120,1,2,220,0,12,12
Cheerios,110,6,2,290,2,17,1
Cinnamon_Toast_Crunch,120,1,3,210,0,13,9
Clusters,110,3,2,140,2,13,7
Cocoa_Puffs,110,1,1,180,0,12,13
Corn_Chex,110,2,0,280,0,22,3
Corn_Flakes,100,2,0,290,1,21,2
Corn_Pops,110,1,0,90,1,13,12
Count_Chocula,110,1,1,180,0,12,13
Cracklin_Oat_Bran,110,3,3,140,4,10,7
Crispix,110,2,0,220,1,21,3
Froot_Loops,110,2,1,125,1,11,13
Frosted_Flakes,110,1,0,200,1,14,11
Frosted_Mini-Wheats,100,3,0,0,3,14,7
Fruity_Pebbles,110,1,1,135,0,13,12
Golden_Crisp,100,2,0,45,0,11,15
Golden_Grahams,110,1,1,280,0,15,9
Grape_Nuts_Flakes,100,3,1,140,3,15,5
Great_Grains_Pecan,120,3,3,75,3,13,4
Honey_Graham_Ohs,120,1,2,220,1,12,11
Honey_Nut_Cheerios,110,3,1,250,1.5,11.5,10
Honey-Comb,110,1,0,180,0,14,11
Kix,110,2,1,260,0,21,3
Life,100,4,2,150,2,12,6
Lucky_Charms,110,2,1,180,0,12,12
Multi-Grain_Cheerios,100,2,1,220,2,15,6
NutHoney_Crunch,120,2,1,190,0,15,9
Oatmeal_Raisin_Crisp,130,3,2,170,1.5,13.5,10
Post_Nat_Raisin_Bran,120,3,1,200,6,11,14
Puffed_Rice,50,1,0,0,0,13,0
Puffed_Wheat,50,2,0,0,1,10,0
Quaker_Oat_Squares,100,4,1,135,2,14,6
Raisin_Bran,120,3,1,210,5,14,12
Rice_Chex,110,1,0,240,0,23,2
Rice_Krispies,110,2,0,290,0,22,3
Special_K,110,6,0,230,1,16,3
Total_Corn_Flakes,110,2,1,200,0,21,3
Total_Raisin_Bran,140,3,1,190,4,15,14
Total_Whole_Grain,100,3,1,200,3,16,3
Trix,110,1,1,140,0,13,12
Wheat_Chex,100,3,1,230,3,17,3
Wheaties,100,3,1,200,3,17,3
